Radial_growth,Replicate,Organism,Plate_Passage ,Condition
1.358,1,F. johnsoniae,1,Monoculture
1.098,2,F. johnsoniae,1,Monoculture
1.738,3,F. johnsoniae,1,Monoculture
1.34,4,F. johnsoniae,1,Monoculture
1.332,5,F. johnsoniae,1,Monoculture
1.306,1,F. johnsoniae,2,Monoculture
1.484,2,F. johnsoniae,2,Monoculture
1.258,3,F. johnsoniae,2,Monoculture
1.406,4,F. johnsoniae,2,Monoculture
2.017,5,F. johnsoniae,2,Monoculture
1.37,1,F. johnsoniae,3,Monoculture
1.14,2,F. johnsoniae,3,Monoculture
1.222,3,F. johnsoniae,3,Monoculture
1.197,4,F. johnsoniae,3,Monoculture
1.414,5,F. johnsoniae,3,Monoculture
2.231,1,F. johnsoniae,4,Monoculture
2.796,2,F. johnsoniae,4,Monoculture
1.73,3,F. johnsoniae,4,Monoculture
1.75,4,F. johnsoniae,4,Monoculture
3.093,5,F. johnsoniae,4,Monoculture
2.066,1,F. johnsoniae,5,Monoculture
3.107,2,F. johnsoniae,5,Monoculture
2.789,3,F. johnsoniae,5,Monoculture
3.072,4,F. johnsoniae,5,Monoculture
3.346,5,F. johnsoniae,5,Monoculture
0.639,1,F. johnsoniae,1,Coevolved
0.636,2,F. johnsoniae,1,Coevolved
0.718,3,F. johnsoniae,1,Coevolved
0.716,4,F. johnsoniae,1,Coevolved
0.789,5,F. johnsoniae,1,Coevolved
1.914,1,F. johnsoniae,2,Coevolved
1.111,2,F. johnsoniae,2,Coevolved
0.811,3,F. johnsoniae,2,Coevolved
1.131,4,F. johnsoniae,2,Coevolved
0.997,5,F. johnsoniae,2,Coevolved
1.497,1,F. johnsoniae,3,Coevolved
1.474,2,F. johnsoniae,3,Coevolved
1.417,3,F. johnsoniae,3,Coevolved
1.598,4,F. johnsoniae,3,Coevolved
1.315,5,F. johnsoniae,3,Coevolved
1.596,1,F. johnsoniae,4,Coevolved
1.486,2,F. johnsoniae,4,Coevolved
1.57,3,F. johnsoniae,4,Coevolved
0.771,4,F. johnsoniae,4,Coevolved
0.987,5,F. johnsoniae,4,Coevolved
1.989,1,F. johnsoniae,5,Coevolved
2.242,2,F. johnsoniae,5,Coevolved
2.804,3,F. johnsoniae,5,Coevolved
2.652,4,F. johnsoniae,5,Coevolved
1.876,5,F. johnsoniae,5,Coevolved
